nome_tabela;nome_atributo;tipo_dado;quantidade_caracteres;indicador_obrigatorio;valor_permitido;indicador_chave_primaria;indicador_chave_estrangeira;descricao_atributo
Dimensao_colaborador;surrogate_key_colaborador;NUMERIC;5;S;Irrestrito;S;N;Atributo artificial sequencial identificador de colaborador
Dimensao_colaborador;codigo_matricula_colaborador;VARCHAR;5;S;Irrestrito;N;N;código de matrícula do colaborador
Dimensao_colaborador;nome_colaborador;VARCHAR;40;S;Irrestrito;N;N;Nome do colaborador
Dimensao_colaborador;tipo_contrato_trabalho;VARCHAR;3;S;CLT, PJ;N;N;Tipo do contrato de trabalho
Dimensao_colaborador;codigo_cargo_colaborador;VARCHAR;3;S;Irrestrito;N;N;código de cargo do colaborador
Dimensao_colaborador;data_nascimento_colaborador;DATE;N/A;S;Irrestrito;N;N;Data de nascimento do colaborador
Dimensao_colaborador;nome_cidade_colaborador;VARCHAR;30;S;Irrestrito;N;N;Nome da cidade do colaborador
Dimensao_colaborador;numero_cpf_colaborador;VARCHAR;11;S;Irrestrito;N;N;Número do CPF do colaborador
Dimensao_colaborador;endereco_email_colaborador;VARCHAR;40;S;Irrestrito;N;N;Endereço de email do colabrador
Dimensao_colaborador;data_admissao_colaborador;DATE;N/A;S;Irrestrito;N;N;Data de admissão do colaborador
Dimensao_calendario;ano_mes_calendario;NUMERIC;6;S;Irrestrito;S;N;Ano e mês de referencia
Dimensao_calendario;numero_ano_calendario;NUMERIC;4;S;Irrestrito;N;N;Número do ano de referância
Dimensao_calendario;numero_mes_calendario;NUMERIC;2;S;Irrestrito;N;N;Número mês de referência
Dimensao_calendario;nome_mes_calendario;VARCHAR;18;S;Irrestrito;N;N;Nome do mês de referância
Dimensao_calendario;dias_uteis_mes_calendario;NUMERIC;2;S;Irrestrito;N;N;Dias úteis do mês de referência
Dimensao_cargo;codigo_cargo;VARCHAR;3;S;Irrestrito;S;N;código de cargo do colaborador
Dimensao_cargo;descricao_cargo;VARCHAR;40;S;Cientista de Dados, Analista de Dados, Engenheiro de Dados, Arquiteto de Soluções, Scrum Master, Agile Coach, Analista Funcional, Product Owner, Analista Desenvolvedor, Especialista Desenvolvedor, Consultor Cybersecurity, Consultor Comercial, Estagiário, Gerente Técnico, Gerente Comercial, Designer UX/UI, Analista de QA, Analista de Infraestrutura, Analista de Cloud, Especialistade Cloud;N;N;Descrição do cargo
Dimensao_cargo;valor_custo_hora;NUMERIC;5,2;S;Irrestrito;N;N;Valor do custo hora
Dimensao_cargo;valor_custo_dia;NUMERIC;5,2;S;Irrestrito;N;N;Valor do custo dia (Valor do custo hora * 8)
Dimensao_cliente;surrogate_key_cliente;NUMERIC;5;S;Irrestrito;S;N;Atributo artificial sequencial identificador de cliente
Dimensao_cliente;nome_cliente;VARCHAR;50;S;Irrestrito;N;N;Nome fantasia do cliente
Dimensao_cliente;codigo_cnpj_cliente;NUMERIC;14;S;Irrestrito;N;N;código CNPJ do cliente
Dimensao_cliente;endereco_email_cliente;VARCHAR;40;S;Irrestrito;N;N;endereço email do cliente
Dimensao_cliente;numero_telefone_cliente;NUMERIC;10;S;Irrestrito;N;N;Número de telefone do cliente
Dimensao_cliente;data_cadastro_cliente;DATE;N/A;S;Irrestrito;N;N;Data de cadastro do cliente
Dimensao_projeto;surrogate_key_projeto;NUMERIC;5;S;Irrestrito;S;N;Atributo artificial sequencial identificador de projeto
