data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
10/01/2023,436,F2,189,26,1,HN,4.99,4,30.49
14/01/2023,744,F3,81,1,6,HN,3.66,2,16.38
26/01/2023,51,F3,156,21,7,HE,7.92,2,108.57
24/01/2023,551,F3,142,96,6,HN,2.56,3,113.79
06/01/2023,107,M1,159,20,2,HN,2.08,1,69.54
26/01/2023,618,F2,213,24,4,HE,2.0,3,28.2
08/01/2023,887,F2,109,40,6,HN,7.7,1,138.56
17/01/2023,271,M1,64,24,3,HE,3.68,5,94.3
30/01/2023,689,F3,49,6,2,HN,3.65,3,142.29
19/01/2023,322,F2,199,62,1,HN,2.73,4,129.97
20/01/2023,65,M1,204,32,3,HE,3.63,1,116.59
22/01/2023,680,F3,76,83,6,HE,2.99,5,139.42
01/01/2023,14,F3,165,35,4,HE,6.96,2,14.03
06/01/2023,598,F3,172,23,7,HN,5.35,3,49.08
29/01/2023,649,F3,46,80,5,HN,1.37,1,36.81
04/01/2023,759,F2,90,21,3,HE,2.06,1,76.44
13/01/2023,366,F3,72,37,4,HE,3.14,2,87.94
24/01/2023,778,F2,181,25,1,HE,4.27,3,46.3
25/01/2023,915,F2,19,75,2,HE,7.1,1,94.19
29/01/2023,476,M1,196,40,4,HN,1.34,1,135.27
14/01/2023,439,F2,40,79,7,HN,5.46,3,131.51
05/01/2023,246,F2,138,15,4,HN,5.47,2,47.4
23/01/2023,645,F3,212,5,4,HE,7.78,5,44.16
27/01/2023,535,M1,22,86,7,HN,2.65,3,62.88
19/01/2023,773,M1,234,30,4,HN,7.47,2,100.54
02/01/2023,66,M1,232,67,5,HN,5.03,3,79.44
05/01/2023,580,F3,22,53,4,HE,5.35,2,60.63
20/01/2023,424,F3,213,12,7,HN,2.79,5,87.3
14/01/2023,959,F2,55,74,7,HE,2.3,4,129.83
18/01/2023,150,F3,39,41,7,HN,1.85,3,39.91
28/01/2023,528,M1,77,21,3,HE,1.85,3,26.76
14/01/2023,325,F3,2,58,4,HN,3.47,5,140.63
10/01/2023,467,M1,215,55,1,HE,6.25,4,69.85
28/01/2023,496,F3,74,74,1,HN,6.23,3,103.81
06/01/2023,533,F3,8,78,4,HN,3.72,2,55.25
20/01/2023,950,M1,162,87,6,HE,2.73,4,29.14
27/01/2023,373,F2,21,87,4,HE,6.68,5,69.36
11/01/2023,539,F3,83,58,4,HE,5.26,2,52.56
06/01/2023,58,M1,174,22,2,HN,7.5,4,120.02
24/01/2023,637,M1,152,73,1,HE,3.38,5,20.56
13/01/2023,479,F3,54,41,4,HN,1.52,3,110.39
06/01/2023,554,M1,240,51,4,HN,7.86,5,59.09
19/01/2023,531,M1,196,31,6,HE,3.88,1,99.58
06/01/2023,170,F2,218,86,4,HN,2.27,1,44.29
22/01/2023,53,M1,150,63,6,HE,7.91,2,53.01
13/01/2023,853,F3,21,30,1,HN,3.24,1,128.07
25/01/2023,58,F2,72,93,1,HE,3.88,3,141.98
11/01/2023,909,F2,210,73,3,HE,7.83,2,36.76
19/01/2023,276,F3,10,40,7,HE,6.44,5,29.1
29/01/2023,941,F3,31,93,6,HE,3.62,4,107.49
02/01/2023,811,F2,233,37,2,HN,2.2,5,4.87
11/01/2023,459,F2,209,99,2,HE,6.92,4,54.61
08/01/2023,331,F2,179,1,4,HE,7.81,5,74.09
19/01/2023,732,M1,222,28,5,HN,7.75,4,117.91
10/01/2023,792,M1,218,7,5,HE,3.12,2,74.59
08/01/2023,854,M1,214,94,5,HN,2.91,1,23.63
09/01/2023,806,M1,219,96,5,HE,4.71,3,54.25
26/01/2023,315,F2,150,86,3,HE,7.98,5,25.31
11/01/2023,162,F3,86,24,3,HN,6.28,4,41.06
20/01/2023,186,F3,6,42,4,HN,5.46,1,68.01
20/01/2023,426,F2,42,76,6,HN,3.27,5,111.23
25/01/2023,29,F3,195,81,6,HN,3.58,4,146.32
30/01/2023,201,F3,60,73,2,HN,6.41,3,125.54
18/01/2023,568,M1,122,71,7,HN,1.8,3,134.59
23/01/2023,360,F2,42,5,1,HE,3.39,2,143.79
27/01/2023,918,M1,209,90,3,HE,4.12,2,64.1
05/01/2023,917,F3,220,79,3,HE,3.14,3,72.01
06/01/2023,748,F3,17,4,2,HN,1.82,4,112.21
12/01/2023,64,F2,38,71,2,HN,3.03,4,135.79
14/01/2023,505,F2,249,5,4,HE,6.02,1,141.64
11/01/2023,467,F3,101,84,3,HN,1.88,5,138.69
21/01/2023,31,F2,71,62,6,HE,1.65,5,136.02
24/01/2023,291,M1,1,33,4,HE,2.19,5,97.89
25/01/2023,684,F3,188,4,4,HE,7.01,2,106.72
08/01/2023,461,F2,27,22,7,HE,7.27,3,130.48
24/01/2023,549,F2,186,86,3,HN,2.81,4,3.99
19/01/2023,928,M1,8,22,5,HE,2.9,2,94.99
17/01/2023,805,M1,120,45,4,HE,1.54,2,98.67
01/01/2023,372,F3,211,42,2,HE,2.14,5,93.37
28/01/2023,687,F2,181,22,7,HE,2.75,2,3.94
01/01/2023,859,F3,118,74,7,HN,2.16,4,91.65
17/01/2023,286,M1,195,36,2,HE,1.28,5,147.48
01/01/2023,837,F2,244,12,2,HN,7.9,4,104.99
25/01/2023,192,F2,163,96,6,HE,6.83,3,105.19
15/01/2023,134,M1,156,60,6,HE,7.13,1,64.28
08/01/2023,605,F3,3,18,2,HN,3.24,1,139.85
24/01/2023,944,F2,85,15,2,HE,6.17,3,119.86
20/01/2023,289,F2,30,24,1,HE,7.81,3,115.54
21/01/2023,244,M1,237,35,1,HN,4.59,4,120.0
03/01/2023,900,F2,194,76,6,HE,3.9,3,74.21
17/01/2023,545,F3,123,36,2,HE,2.51,2,141.53
16/01/2023,26,F2,159,61,1,HN,6.68,2,135.73
30/01/2023,450,M1,146,89,7,HN,2.11,1,62.33
02/01/2023,653,F2,30,49,3,HE,5.5,4,42.01
25/01/2023,933,F3,199,81,3,HN,2.2,2,128.88
03/01/2023,803,F2,60,92,4,HN,5.24,1,48.74
08/01/2023,606,F2,206,21,6,HN,1.41,5,71.49
12/01/2023,138,F2,99,40,1,HN,5.41,4,87.58
06/01/2023,156,F3,121,100,4,HE,2.24,4,53.87
17/01/2023,300,F2,14,21,7,HE,2.68,3,101.75
02/01/2023,144,F2,136,53,7,HE,7.45,3,83.32
12/01/2023,164,F3,139,43,4,HE,6.73,1,68.9
18/01/2023,758,F3,132,97,7,HE,7.18,4,110.03
30/01/2023,837,F2,64,62,5,HN,7.05,3,125.76
12/01/2023,383,F2,4,72,6,HN,5.12,1,81.29
29/01/2023,585,F3,152,76,7,HN,6.85,1,129.35
25/01/2023,730,F2,199,87,5,HE,3.96,5,56.44
13/01/2023,318,F2,198,70,7,HE,1.31,5,140.97
14/01/2023,386,F2,245,28,6,HN,7.04,4,68.35
03/01/2023,152,F2,58,57,3,HN,4.73,2,138.16
24/01/2023,636,F3,245,85,2,HE,5.57,3,3.0
19/01/2023,942,F3,153,21,2,HN,1.36,1,40.09
22/01/2023,385,M1,53,87,1,HN,5.2,4,122.83
12/01/2023,881,F3,231,48,4,HN,6.83,3,129.96
10/01/2023,630,M1,127,99,7,HN,4.93,5,29.57
15/01/2023,628,F2,21,25,3,HN,5.71,3,3.02
28/01/2023,734,F3,40,98,7,HE,7.8,4,31.27
26/01/2023,328,F2,76,1,4,HN,5.28,5,12.61
03/01/2023,21,F3,169,62,6,HN,4.7,5,130.85
10/01/2023,733,F3,165,22,4,HE,4.05,5,64.46
07/01/2023,335,M1,39,99,5,HN,7.66,4,137.17
27/01/2023,478,M1,101,68,7,HE,5.55,2,13.06
05/01/2023,55,F2,213,4,3,HN,1.85,2,22.29
10/01/2023,610,F2,204,95,5,HE,6.17,4,55.62
14/01/2023,174,F2,60,51,5,HE,3.73,1,85.21
17/01/2023,841,F2,149,98,6,HE,4.72,3,121.62
19/01/2023,726,F3,43,53,3,HE,5.36,2,142.33
18/01/2023,141,F3,174,37,2,HE,3.25,5,5.53
23/01/2023,503,F3,114,9,2,HE,3.65,3,140.46
24/01/2023,438,M1,221,21,3,HN,5.7,1,148.39
05/01/2023,767,F3,77,93,3,HE,4.53,5,5.6
26/01/2023,492,F2,50,58,3,HN,6.85,4,141.32
10/01/2023,685,M1,153,37,2,HE,1.1,5,77.9
06/01/2023,331,F3,32,59,7,HE,4.81,5,77.88
04/01/2023,202,F3,250,79,1,HN,7.43,2,111.38
24/01/2023,514,F2,194,39,3,HN,3.94,5,8.84
02/01/2023,238,M1,58,10,7,HN,4.38,4,105.85
22/01/2023,163,F2,18,6,6,HE,1.04,2,79.94
29/01/2023,688,M1,117,81,5,HE,6.32,1,123.19
14/01/2023,165,M1,203,82,1,HE,6.57,2,81.02
13/01/2023,228,F2,244,65,3,HE,3.71,2,6.12
30/01/2023,668,F3,61,50,3,HN,2.16,1,73.87
25/01/2023,583,M1,165,80,4,HN,3.84,4,51.66
26/01/2023,145,F2,30,76,1,HN,3.68,3,39.72
16/01/2023,89,F2,186,73,4,HE,5.14,5,23.52
01/01/2023,212,F3,170,70,3,HN,6.69,2,137.78
23/01/2023,788,F2,150,9,7,HE,4.47,2,92.35
29/01/2023,317,F3,81,59,3,HE,3.36,2,4.33
27/01/2023,125,F3,120,83,2,HN,6.56,5,69.09
30/01/2023,73,F2,85,64,1,HN,6.14,4,64.77
21/01/2023,584,F3,94,6,7,HE,7.09,3,87.04
26/01/2023,31,F3,54,46,1,HE,6.23,2,59.5
08/01/2023,146,F3,26,64,5,HN,1.77,2,86.01
30/01/2023,393,F2,56,98,4,HE,4.14,4,26.42
18/01/2023,372,F2,27,38,5,HE,7.04,1,76.23
