surrogate_key_captura_apontamento_horas,data_apontamento,codigo_matricula_colaborador_apontado,codigo_filial_apontada,codigo_projeto_apontado,codigo_cliente_projeto,codigo_segmento_mercado,indicador_tipo_hora_trabalhada,quantidade_horas_trabalhadas,tipo_despesa_apontada,valor_despesa_apontada
1,10/01/2023,436,F2,189,26,1,HN,4.99,4,30.49
2,14/01/2023,744,F3,81,1,6,HN,3.66,2,16.38
3,26/01/2023,51,F3,156,21,7,HE,7.92,2,108.57
4,24/01/2023,551,F3,142,96,6,HN,2.56,3,113.79
5,06/01/2023,107,M1,159,20,2,HN,2.08,1,69.54
6,26/01/2023,618,F2,213,24,4,HE,2.0,3,28.2
7,08/01/2023,887,F2,109,40,6,HN,7.7,1,138.56
8,17/01/2023,271,M1,64,24,3,HE,3.68,5,94.3
9,30/01/2023,689,F3,49,6,2,HN,3.65,3,142.29
10,19/01/2023,322,F2,199,62,1,HN,2.73,4,129.97
11,20/01/2023,65,M1,204,32,3,HE,3.63,1,116.59
12,22/01/2023,680,F3,76,83,6,HE,2.99,5,139.42
13,01/01/2023,14,F3,165,35,4,HE,6.96,2,14.03
14,06/01/2023,598,F3,172,23,7,HN,5.35,3,49.08
15,29/01/2023,649,F3,46,80,5,HN,1.37,1,36.81
16,04/01/2023,759,F2,90,21,3,HE,2.06,1,76.44
17,13/01/2023,366,F3,72,37,4,HE,3.14,2,87.94
18,24/01/2023,778,F2,181,25,1,HE,4.27,3,46.3
19,25/01/2023,915,F2,19,75,2,HE,7.1,1,94.19
20,29/01/2023,476,M1,196,40,4,HN,1.34,1,135.27
21,14/01/2023,439,F2,40,79,7,HN,5.46,3,131.51
22,05/01/2023,246,F2,138,15,4,HN,5.47,2,47.4
23,23/01/2023,645,F3,212,5,4,HE,7.78,5,44.16
24,27/01/2023,535,M1,22,86,7,HN,2.65,3,62.88
25,19/01/2023,773,M1,234,30,4,HN,7.47,2,100.54
26,02/01/2023,66,M1,232,67,5,HN,5.03,3,79.44
27,05/01/2023,580,F3,22,53,4,HE,5.35,2,60.63
28,20/01/2023,424,F3,213,12,7,HN,2.79,5,87.3
29,14/01/2023,959,F2,55,74,7,HE,2.3,4,129.83
30,18/01/2023,150,F3,39,41,7,HN,1.85,3,39.91
31,28/01/2023,528,M1,77,21,3,HE,1.85,3,26.76
32,14/01/2023,325,F3,2,58,4,HN,3.47,5,140.63
33,10/01/2023,467,M1,215,55,1,HE,6.25,4,69.85
34,28/01/2023,496,F3,74,74,1,HN,6.23,3,103.81
35,06/01/2023,533,F3,8,78,4,HN,3.72,2,55.25
36,20/01/2023,950,M1,162,87,6,HE,2.73,4,29.14
37,27/01/2023,373,F2,21,87,4,HE,6.68,5,69.36
38,11/01/2023,539,F3,83,58,4,HE,5.26,2,52.56
39,06/01/2023,58,M1,174,22,2,HN,7.5,4,120.02
40,24/01/2023,637,M1,152,73,1,HE,3.38,5,20.56
41,13/01/2023,479,F3,54,41,4,HN,1.52,3,110.39
42,06/01/2023,554,M1,240,51,4,HN,7.86,5,59.09
43,19/01/2023,531,M1,196,31,6,HE,3.88,1,99.58
44,06/01/2023,170,F2,218,86,4,HN,2.27,1,44.29
45,22/01/2023,53,M1,150,63,6,HE,7.91,2,53.01
46,13/01/2023,853,F3,21,30,1,HN,3.24,1,128.07
47,25/01/2023,58,F2,72,93,1,HE,3.88,3,141.98
48,11/01/2023,909,F2,210,73,3,HE,7.83,2,36.76
49,19/01/2023,276,F3,10,40,7,HE,6.44,5,29.1
50,29/01/2023,941,F3,31,93,6,HE,3.62,4,107.49
51,02/01/2023,811,F2,233,37,2,HN,2.2,5,4.87
52,11/01/2023,459,F2,209,99,2,HE,6.92,4,54.61
53,08/01/2023,331,F2,179,1,4,HE,7.81,5,74.09
54,19/01/2023,732,M1,222,28,5,HN,7.75,4,117.91
55,10/01/2023,792,M1,218,7,5,HE,3.12,2,74.59
56,08/01/2023,854,M1,214,94,5,HN,2.91,1,23.63
57,09/01/2023,806,M1,219,96,5,HE,4.71,3,54.25
58,26/01/2023,315,F2,150,86,3,HE,7.98,5,25.31
59,11/01/2023,162,F3,86,24,3,HN,6.28,4,41.06
60,20/01/2023,186,F3,6,42,4,HN,5.46,1,68.01
61,20/01/2023,426,F2,42,76,6,HN,3.27,5,111.23
62,25/01/2023,29,F3,195,81,6,HN,3.58,4,146.32
63,30/01/2023,201,F3,60,73,2,HN,6.41,3,125.54
64,18/01/2023,568,M1,122,71,7,HN,1.8,3,134.59
65,23/01/2023,360,F2,42,5,1,HE,3.39,2,143.79
66,27/01/2023,918,M1,209,90,3,HE,4.12,2,64.1
67,05/01/2023,917,F3,220,79,3,HE,3.14,3,72.01
68,06/01/2023,748,F3,17,4,2,HN,1.82,4,112.21
69,12/01/2023,64,F2,38,71,2,HN,3.03,4,135.79
70,14/01/2023,505,F2,249,5,4,HE,6.02,1,141.64
71,11/01/2023,467,F3,101,84,3,HN,1.88,5,138.69
72,21/01/2023,31,F2,71,62,6,HE,1.65,5,136.02
73,24/01/2023,291,M1,1,33,4,HE,2.19,5,97.89
74,25/01/2023,684,F3,188,4,4,HE,7.01,2,106.72
75,08/01/2023,461,F2,27,22,7,HE,7.27,3,130.48
76,24/01/2023,549,F2,186,86,3,HN,2.81,4,3.99
77,19/01/2023,928,M1,8,22,5,HE,2.9,2,94.99
78,17/01/2023,805,M1,120,45,4,HE,1.54,2,98.67
79,01/01/2023,372,F3,211,42,2,HE,2.14,5,93.37
80,28/01/2023,687,F2,181,22,7,HE,2.75,2,3.94
81,01/01/2023,859,F3,118,74,7,HN,2.16,4,91.65
82,17/01/2023,286,M1,195,36,2,HE,1.28,5,147.48
83,01/01/2023,837,F2,244,12,2,HN,7.9,4,104.99
84,25/01/2023,192,F2,163,96,6,HE,6.83,3,105.19
85,15/01/2023,134,M1,156,60,6,HE,7.13,1,64.28
86,08/01/2023,605,F3,3,18,2,HN,3.24,1,139.85
87,24/01/2023,944,F2,85,15,2,HE,6.17,3,119.86
88,20/01/2023,289,F2,30,24,1,HE,7.81,3,115.54
89,21/01/2023,244,M1,237,35,1,HN,4.59,4,120.0
90,03/01/2023,900,F2,194,76,6,HE,3.9,3,74.21
91,17/01/2023,545,F3,123,36,2,HE,2.51,2,141.53
92,16/01/2023,26,F2,159,61,1,HN,6.68,2,135.73
93,30/01/2023,450,M1,146,89,7,HN,2.11,1,62.33
94,02/01/2023,653,F2,30,49,3,HE,5.5,4,42.01
95,25/01/2023,933,F3,199,81,3,HN,2.2,2,128.88
96,03/01/2023,803,F2,60,92,4,HN,5.24,1,48.74
97,08/01/2023,606,F2,206,21,6,HN,1.41,5,71.49
98,12/01/2023,138,F2,99,40,1,HN,5.41,4,87.58
99,06/01/2023,156,F3,121,100,4,HE,2.24,4,53.87
100,17/01/2023,300,F2,14,21,7,HE,2.68,3,101.75
101,02/01/2023,144,F2,136,53,7,HE,7.45,3,83.32
102,12/01/2023,164,F3,139,43,4,HE,6.73,1,68.9
103,18/01/2023,758,F3,132,97,7,HE,7.18,4,110.03
104,30/01/2023,837,F2,64,62,5,HN,7.05,3,125.76
105,12/01/2023,383,F2,4,72,6,HN,5.12,1,81.29
106,29/01/2023,585,F3,152,76,7,HN,6.85,1,129.35
107,25/01/2023,730,F2,199,87,5,HE,3.96,5,56.44
108,13/01/2023,318,F2,198,70,7,HE,1.31,5,140.97
109,14/01/2023,386,F2,245,28,6,HN,7.04,4,68.35
110,03/01/2023,152,F2,58,57,3,HN,4.73,2,138.16
111,24/01/2023,636,F3,245,85,2,HE,5.57,3,3.0
112,19/01/2023,942,F3,153,21,2,HN,1.36,1,40.09
113,22/01/2023,385,M1,53,87,1,HN,5.2,4,122.83
114,12/01/2023,881,F3,231,48,4,HN,6.83,3,129.96
115,10/01/2023,630,M1,127,99,7,HN,4.93,5,29.57
116,15/01/2023,628,F2,21,25,3,HN,5.71,3,3.02
117,28/01/2023,734,F3,40,98,7,HE,7.8,4,31.27
118,26/01/2023,328,F2,76,1,4,HN,5.28,5,12.61
119,03/01/2023,21,F3,169,62,6,HN,4.7,5,130.85
120,10/01/2023,733,F3,165,22,4,HE,4.05,5,64.46
121,07/01/2023,335,M1,39,99,5,HN,7.66,4,137.17
122,27/01/2023,478,M1,101,68,7,HE,5.55,2,13.06
123,05/01/2023,55,F2,213,4,3,HN,1.85,2,22.29
124,10/01/2023,610,F2,204,95,5,HE,6.17,4,55.62
125,14/01/2023,174,F2,60,51,5,HE,3.73,1,85.21
126,17/01/2023,841,F2,149,98,6,HE,4.72,3,121.62
127,19/01/2023,726,F3,43,53,3,HE,5.36,2,142.33
128,18/01/2023,141,F3,174,37,2,HE,3.25,5,5.53
129,23/01/2023,503,F3,114,9,2,HE,3.65,3,140.46
130,24/01/2023,438,M1,221,21,3,HN,5.7,1,148.39
131,05/01/2023,767,F3,77,93,3,HE,4.53,5,5.6
132,26/01/2023,492,F2,50,58,3,HN,6.85,4,141.32
133,10/01/2023,685,M1,153,37,2,HE,1.1,5,77.9
134,06/01/2023,331,F3,32,59,7,HE,4.81,5,77.88
135,04/01/2023,202,F3,250,79,1,HN,7.43,2,111.38
136,24/01/2023,514,F2,194,39,3,HN,3.94,5,8.84
137,02/01/2023,238,M1,58,10,7,HN,4.38,4,105.85
138,22/01/2023,163,F2,18,6,6,HE,1.04,2,79.94
139,29/01/2023,688,M1,117,81,5,HE,6.32,1,123.19
140,14/01/2023,165,M1,203,82,1,HE,6.57,2,81.02
141,13/01/2023,228,F2,244,65,3,HE,3.71,2,6.12
142,30/01/2023,668,F3,61,50,3,HN,2.16,1,73.87
143,25/01/2023,583,M1,165,80,4,HN,3.84,4,51.66
144,26/01/2023,145,F2,30,76,1,HN,3.68,3,39.72
145,16/01/2023,89,F2,186,73,4,HE,5.14,5,23.52
146,01/01/2023,212,F3,170,70,3,HN,6.69,2,137.78
147,23/01/2023,788,F2,150,9,7,HE,4.47,2,92.35
148,29/01/2023,317,F3,81,59,3,HE,3.36,2,4.33
149,27/01/2023,125,F3,120,83,2,HN,6.56,5,69.09
150,30/01/2023,73,F2,85,64,1,HN,6.14,4,64.77
151,21/01/2023,584,F3,94,6,7,HE,7.09,3,87.04
152,26/01/2023,31,F3,54,46,1,HE,6.23,2,59.5
153,08/01/2023,146,F3,26,64,5,HN,1.77,2,86.01
154,30/01/2023,393,F2,56,98,4,HE,4.14,4,26.42
155,18/01/2023,372,F2,27,38,5,HE,7.04,1,76.23
156,03/01/2023,9,F2,239,80,4,HE,3.65,3,70.31
157,15/01/2023,382,F2,213,68,7,HE,7.81,4,144.83
158,12/01/2023,955,M1,171,66,4,HE,1.63,4,55.46
159,14/01/2023,420,F2,189,34,3,HE,2.87,3,65.63
160,20/01/2023,955,F3,7,31,7,HN,2.11,1,47.02
161,15/01/2023,381,F3,161,75,2,HE,6.41,1,128.8
162,14/01/2023,698,F3,160,25,3,HE,6.19,1,127.33
163,08/01/2023,326,F3,42,76,2,HE,6.05,4,55.35
164,24/01/2023,508,F2,240,33,3,HN,4.71,3,72.45
165,20/01/2023,450,F3,213,24,1,HE,3.6,3,129.29
166,18/01/2023,614,F2,231,13,7,HN,3.56,3,108.33
167,10/01/2023,46,M1,53,93,4,HE,7.99,2,37.51
168,25/01/2023,935,F2,154,43,5,HN,7.72,2,7.52
169,18/01/2023,332,M1,57,83,2,HN,1.17,3,23.27
170,05/01/2023,906,F3,37,68,2,HE,5.42,3,14.99
171,18/01/2023,33,F2,166,91,5,HE,5.18,4,72.88
172,29/01/2023,731,F2,145,91,6,HN,4.04,2,142.28
173,17/01/2023,312,F2,172,98,7,HN,7.14,2,70.93
174,24/01/2023,862,F2,50,74,3,HN,6.67,3,97.22
175,13/01/2023,187,F3,213,10,6,HE,6.9,4,127.35
176,03/01/2023,840,F3,233,89,5,HE,5.98,4,78.91
177,03/01/2023,695,F2,182,71,1,HN,1.44,5,148.55
178,02/01/2023,476,M1,210,55,4,HN,5.47,1,132.13
179,08/01/2023,636,F3,211,27,6,HN,5.96,4,91.21
180,27/01/2023,187,F2,201,4,7,HE,7.19,3,136.9
181,26/01/2023,492,F3,29,77,5,HN,5.56,1,35.5
182,18/01/2023,860,F2,54,75,5,HE,3.85,1,125.63
183,11/01/2023,357,F2,99,67,4,HE,6.07,1,7.36
184,02/01/2023,501,F3,178,63,3,HN,1.9,4,130.71
185,09/01/2023,118,F3,63,75,5,HE,4.66,2,74.78
186,11/01/2023,447,F3,13,92,7,HN,6.83,1,35.14
187,20/01/2023,844,M1,124,54,6,HE,3.75,2,56.6
188,14/01/2023,226,F3,125,54,3,HE,4.95,3,103.36
189,10/01/2023,944,M1,185,14,7,HN,1.32,1,99.71
190,13/01/2023,87,M1,207,40,6,HN,7.89,4,13.87
191,14/01/2023,838,M1,116,42,7,HN,6.27,1,12.7
192,05/01/2023,676,F2,229,86,5,HN,6.55,5,89.03
193,27/01/2023,186,F2,66,52,3,HN,2.56,1,110.66
194,28/01/2023,942,F3,48,44,4,HE,6.35,4,41.85
195,09/01/2023,443,M1,248,77,3,HN,2.26,3,64.86
196,25/01/2023,375,F2,206,15,3,HN,4.62,4,20.72
197,19/01/2023,153,F3,3,85,4,HN,6.83,4,131.66
198,29/01/2023,250,F3,183,44,6,HE,1.7,5,66.48
199,29/01/2023,700,M1,208,70,6,HE,6.77,2,145.31
200,20/01/2023,232,F2,177,69,5,HN,3.33,3,130.92
201,14/01/2023,627,F2,180,42,2,HE,4.87,3,12.69
202,13/01/2023,719,F2,89,27,6,HE,6.05,2,95.4
203,18/01/2023,580,M1,136,68,2,HE,4.91,1,33.4
204,22/01/2023,454,F3,193,4,5,HE,1.49,5,66.51
205,27/01/2023,167,M1,206,49,1,HN,2.81,1,76.58
206,03/01/2023,917,M1,202,14,6,HN,2.03,1,26.93
207,28/01/2023,702,F2,244,30,1,HN,7.37,1,143.45
208,28/01/2023,808,M1,116,6,4,HN,5.26,1,60.66
209,20/01/2023,879,M1,34,69,6,HN,6.99,2,92.59
210,03/01/2023,448,M1,178,80,5,HN,4.19,1,66.94
211,26/01/2023,932,F2,190,46,3,HE,7.51,4,116.9
212,07/01/2023,252,F3,202,79,4,HE,4.48,3,42.44
213,01/01/2023,704,F2,89,5,4,HN,7.56,2,91.37
214,29/01/2023,495,F3,144,68,5,HN,3.57,1,84.44
215,19/01/2023,656,M1,17,35,5,HE,1.68,3,18.16
216,21/01/2023,897,F3,204,61,6,HN,6.96,1,117.97
217,28/01/2023,304,M1,16,57,5,HE,4.52,3,47.16
218,28/01/2023,397,M1,49,33,4,HN,6.74,4,42.66
219,13/01/2023,664,F3,104,79,3,HN,5.55,4,49.51
220,10/01/2023,402,F2,141,29,7,HN,7.22,3,133.11
221,21/01/2023,487,F3,74,8,4,HN,2.72,2,87.72
222,23/01/2023,139,F2,23,8,1,HN,2.52,1,61.58
223,28/01/2023,425,F2,24,13,7,HN,7.11,4,78.93
224,30/01/2023,554,M1,74,18,6,HN,3.51,5,93.71
225,28/01/2023,958,F2,232,73,1,HN,1.63,1,118.34
226,18/01/2023,357,F3,96,58,7,HN,3.55,3,102.06
227,14/01/2023,416,M1,14,29,4,HE,2.15,2,39.21
228,27/01/2023,166,F2,162,9,4,HN,1.11,4,49.68
229,15/01/2023,47,M1,22,64,4,HN,6.83,4,82.77
230,15/01/2023,12,F3,30,46,2,HN,3.15,1,8.03
231,05/01/2023,273,F2,99,63,1,HN,3.13,3,118.38
232,07/01/2023,286,F2,49,75,5,HE,7.47,2,73.61
233,07/01/2023,57,F3,184,45,1,HN,1.93,5,10.21
234,14/01/2023,491,F3,44,33,7,HE,3.86,3,73.59
235,29/01/2023,631,M1,229,38,4,HN,6.39,1,131.17
236,09/01/2023,100,M1,79,71,3,HE,1.02,5,80.17
237,22/01/2023,144,F3,224,5,4,HE,1.51,3,65.99
238,03/01/2023,878,M1,27,17,3,HN,7.61,4,10.79
239,21/01/2023,107,M1,217,74,3,HN,2.19,2,64.84
240,24/01/2023,653,M1,155,34,6,HE,7.97,3,40.95
241,12/01/2023,405,F3,141,29,3,HN,3.77,3,136.77
242,19/01/2023,365,M1,61,82,4,HE,7.15,5,66.91
243,12/01/2023,274,F2,1,14,1,HE,2.66,4,67.62
244,11/01/2023,715,F2,23,77,4,HN,5.92,3,134.71
245,12/01/2023,88,M1,208,52,3,HE,4.14,4,34.94
246,16/01/2023,387,F2,35,52,4,HN,7.94,4,140.75
247,17/01/2023,894,F3,131,28,1,HN,6.77,4,55.48
248,25/01/2023,783,F3,19,61,4,HN,7.11,2,29.33
249,26/01/2023,7,M1,108,30,4,HN,5.73,3,16.76
250,18/01/2023,869,F3,193,18,6,HN,3.53,5,92.22
251,01/01/2023,331,M1,40,86,4,HE,4.21,2,140.55
252,24/01/2023,436,F3,80,25,4,HE,4.51,3,6.91
253,17/01/2023,748,F2,40,3,7,HE,3.69,1,82.11
254,09/01/2023,782,M1,105,27,1,HE,2.62,2,145.28
255,02/01/2023,191,M1,54,97,2,HE,6.2,5,98.35
256,02/01/2023,115,M1,55,88,6,HE,1.51,1,43.07
257,28/01/2023,296,F2,110,74,3,HE,4.62,2,2.12
258,12/01/2023,105,F2,100,43,3,HN,4.69,2,28.79
259,14/01/2023,237,M1,246,46,6,HN,2.06,3,33.84
260,15/01/2023,146,M1,25,8,6,HN,7.33,5,115.14
261,26/01/2023,479,F3,137,30,5,HE,3.18,2,81.61
262,08/01/2023,492,M1,224,13,5,HN,2.77,1,87.99
263,01/01/2023,232,F3,213,67,7,HN,2.28,5,83.42
264,18/01/2023,628,F3,8,69,4,HN,7.39,1,117.38
265,15/01/2023,252,M1,250,75,7,HN,4.66,5,136.61
266,25/01/2023,864,M1,243,22,1,HE,3.72,2,80.22
267,25/01/2023,525,F3,73,99,1,HN,1.26,1,106.8
268,22/01/2023,581,F2,88,27,4,HE,7.18,4,29.12
269,05/01/2023,834,F2,45,34,1,HE,5.05,1,63.07
270,12/01/2023,736,F3,5,19,6,HN,7.36,1,95.63
271,24/01/2023,689,F2,111,67,7,HN,1.91,3,99.98
272,18/01/2023,655,M1,155,94,3,HE,6.43,3,63.6
273,23/01/2023,705,F3,187,38,2,HN,7.69,5,101.39
