Data;AnoMes;Ano;Mes;Nome_Mes;Base_dias_uteis
01/01/1960;196001;1960;1;January;21
01/02/1960;196002;1960;2;February;21
01/03/1960;196003;1960;3;March;21
01/04/1960;196004;1960;4;April;21
01/05/1960;196005;1960;5;May;21
01/06/1960;196006;1960;6;June;21
01/07/1960;196007;1960;7;July;21
01/08/1960;196008;1960;8;August;21
01/09/1960;196009;1960;9;September;21
01/10/1960;196010;1960;10;October;21
01/11/1960;196011;1960;11;November;21
01/12/1960;196012;1960;12;December;21
01/01/1961;196101;1961;1;January;21
01/02/1961;196102;1961;2;February;21
01/03/1961;196103;1961;3;March;21
01/04/1961;196104;1961;4;April;21
01/05/1961;196105;1961;5;May;21
01/06/1961;196106;1961;6;June;21
01/07/1961;196107;1961;7;July;21
01/08/1961;196108;1961;8;August;21
01/09/1961;196109;1961;9;September;21
01/10/1961;196110;1961;10;October;21
01/11/1961;196111;1961;11;November;21
01/12/1961;196112;1961;12;December;21
01/01/1962;196201;1962;1;January;21
01/02/1962;196202;1962;2;February;21
01/03/1962;196203;1962;3;March;21
01/04/1962;196204;1962;4;April;21
01/05/1962;196205;1962;5;May;21
01/06/1962;196206;1962;6;June;21
01/07/1962;196207;1962;7;July;21
01/08/1962;196208;1962;8;August;21
01/09/1962;196209;1962;9;September;21
01/10/1962;196210;1962;10;October;21
01/11/1962;196211;1962;11;November;21
01/12/1962;196212;1962;12;December;21
01/01/1963;196301;1963;1;January;21
01/02/1963;196302;1963;2;February;21
01/03/1963;196303;1963;3;March;21
01/04/1963;196304;1963;4;April;21
01/05/1963;196305;1963;5;May;21
01/06/1963;196306;1963;6;June;21
01/07/1963;196307;1963;7;July;21
01/08/1963;196308;1963;8;August;21
01/09/1963;196309;1963;9;September;21
01/10/1963;196310;1963;10;October;21
01/11/1963;196311;1963;11;November;21
01/12/1963;196312;1963;12;December;21
01/01/1964;196401;1964;1;January;21
01/02/1964;196402;1964;2;February;21
01/03/1964;196403;1964;3;March;21
01/04/1964;196404;1964;4;April;21
01/05/1964;196405;1964;5;May;21
01/06/1964;196406;1964;6;June;21
01/07/1964;196407;1964;7;July;21
01/08/1964;196408;1964;8;August;21
01/09/1964;196409;1964;9;September;21
01/10/1964;196410;1964;10;October;21
01/11/1964;196411;1964;11;November;21
01/12/1964;196412;1964;12;December;21
01/01/1965;196501;1965;1;January;21
01/02/1965;196502;1965;2;February;21
01/03/1965;196503;1965;3;March;21
01/04/1965;196504;1965;4;April;21
01/05/1965;196505;1965;5;May;21
01/06/1965;196506;1965;6;June;21
01/07/1965;196507;1965;7;July;21
01/08/1965;196508;1965;8;August;21
01/09/1965;196509;1965;9;September;21
01/10/1965;196510;1965;10;October;21
01/11/1965;196511;1965;11;November;21
01/12/1965;196512;1965;12;December;21
01/01/1966;196601;1966;1;January;21
01/02/1966;196602;1966;2;February;21
01/03/1966;196603;1966;3;March;21
01/04/1966;196604;1966;4;April;21
01/05/1966;196605;1966;5;May;21
01/06/1966;196606;1966;6;June;21
01/07/1966;196607;1966;7;July;21
01/08/1966;196608;1966;8;August;21
01/09/1966;196609;1966;9;September;21
01/10/1966;196610;1966;10;October;21
01/11/1966;196611;1966;11;November;21
01/12/1966;196612;1966;12;December;21
01/01/1967;196701;1967;1;January;21
01/02/1967;196702;1967;2;February;21
01/03/1967;196703;1967;3;March;21
01/04/1967;196704;1967;4;April;21
01/05/1967;196705;1967;5;May;21
01/06/1967;196706;1967;6;June;21
01/07/1967;196707;1967;7;July;21
01/08/1967;196708;1967;8;August;21
01/09/1967;196709;1967;9;September;21
01/10/1967;196710;1967;10;October;21
01/11/1967;196711;1967;11;November;21
01/12/1967;196712;1967;12;December;21
01/01/1968;196801;1968;1;January;21
01/02/1968;196802;1968;2;February;21
01/03/1968;196803;1968;3;March;21
01/04/1968;196804;1968;4;April;21
01/05/1968;196805;1968;5;May;21
01/06/1968;196806;1968;6;June;21
01/07/1968;196807;1968;7;July;21
01/08/1968;196808;1968;8;August;21
01/09/1968;196809;1968;9;September;21
01/10/1968;196810;1968;10;October;21
01/11/1968;196811;1968;11;November;21
01/12/1968;196812;1968;12;December;21
01/01/1969;196901;1969;1;January;21
01/02/1969;196902;1969;2;February;21
01/03/1969;196903;1969;3;March;21
01/04/1969;196904;1969;4;April;21
01/05/1969;196905;1969;5;May;21
01/06/1969;196906;1969;6;June;21
01/07/1969;196907;1969;7;July;21
01/08/1969;196908;1969;8;August;21
01/09/1969;196909;1969;9;September;21
01/10/1969;196910;1969;10;October;21
01/11/1969;196911;1969;11;November;21
01/12/1969;196912;1969;12;December;21
01/01/1970;197001;1970;1;January;21
01/02/1970;197002;1970;2;February;21
01/03/1970;197003;1970;3;March;21
01/04/1970;197004;1970;4;April;21
01/05/1970;197005;1970;5;May;21
01/06/1970;197006;1970;6;June;21
01/07/1970;197007;1970;7;July;21
01/08/1970;197008;1970;8;August;21
01/09/1970;197009;1970;9;September;21
01/10/1970;197010;1970;10;October;21
01/11/1970;197011;1970;11;November;21
01/12/1970;197012;1970;12;December;21
01/01/1971;197101;1971;1;January;21
01/02/1971;197102;1971;2;February;21
01/03/1971;197103;1971;3;March;21
01/04/1971;197104;1971;4;April;21
01/05/1971;197105;1971;5;May;21
01/06/1971;197106;1971;6;June;21
01/07/1971;197107;1971;7;July;21
01/08/1971;197108;1971;8;August;21
01/09/1971;197109;1971;9;September;21
01/10/1971;197110;1971;10;October;21
01/11/1971;197111;1971;11;November;21
01/12/1971;197112;1971;12;December;21
01/01/1972;197201;1972;1;January;21
01/02/1972;197202;1972;2;February;21
01/03/1972;197203;1972;3;March;21
01/04/1972;197204;1972;4;April;21
01/05/1972;197205;1972;5;May;21
01/06/1972;197206;1972;6;June;21
01/07/1972;197207;1972;7;July;21
01/08/1972;197208;1972;8;August;21
01/09/1972;197209;1972;9;September;21
01/10/1972;197210;1972;10;October;21
01/11/1972;197211;1972;11;November;21
01/12/1972;197212;1972;12;December;21
01/01/1973;197301;1973;1;January;21
01/02/1973;197302;1973;2;February;21
01/03/1973;197303;1973;3;March;21
01/04/1973;197304;1973;4;April;21
01/05/1973;197305;1973;5;May;21
01/06/1973;197306;1973;6;June;21
01/07/1973;197307;1973;7;July;21
01/08/1973;197308;1973;8;August;21
01/09/1973;197309;1973;9;September;21
01/10/1973;197310;1973;10;October;21
01/11/1973;197311;1973;11;November;21
01/12/1973;197312;1973;12;December;21
01/01/1974;197401;1974;1;January;21
01/02/1974;197402;1974;2;February;21
01/03/1974;197403;1974;3;March;21
01/04/1974;197404;1974;4;April;21
01/05/1974;197405;1974;5;May;21
01/06/1974;197406;1974;6;June;21
01/07/1974;197407;1974;7;July;21
01/08/1974;197408;1974;8;August;21
01/09/1974;197409;1974;9;September;21
01/10/1974;197410;1974;10;October;21
01/11/1974;197411;1974;11;November;21
01/12/1974;197412;1974;12;December;21
01/01/1975;197501;1975;1;January;21
01/02/1975;197502;1975;2;February;21
01/03/1975;197503;1975;3;March;21
01/04/1975;197504;1975;4;April;21
01/05/1975;197505;1975;5;May;21
01/06/1975;197506;1975;6;June;21
01/07/1975;197507;1975;7;July;21
01/08/1975;197508;1975;8;August;21
01/09/1975;197509;1975;9;September;21
01/10/1975;197510;1975;10;October;21
01/11/1975;197511;1975;11;November;21
01/12/1975;197512;1975;12;December;21
01/01/1976;197601;1976;1;January;21
01/02/1976;197602;1976;2;February;21
01/03/1976;197603;1976;3;March;21
01/04/1976;197604;1976;4;April;21
01/05/1976;197605;1976;5;May;21
01/06/1976;197606;1976;6;June;21
