"ano_mes_calendario";"codigo_projeto";"custo_trabalho_realizado";"despesas";"custo_total_realizado";"valor_custo";"valor_receita"
202301;1;27097.275;5531;32628.275;;
202301;2;33836.755;5945;39781.755;;
202301;3;30691.635;5696;36387.635;;
202301;4;39076.990;5071;44147.990;;
202301;5;36272.230;6527;42799.230;;
202301;6;34081.170;6109;40190.170;;
202301;7;32342.630;5416;37758.630;;
202301;8;36757.655;6722;43479.655;;
202301;9;27794.945;4801;32595.945;;
202301;10;33982.390;5820;39802.390;;
202301;11;28824.830;5963;34787.830;;
202301;12;30485.815;5833;36318.815;;
202301;13;34890.090;5586;40476.090;;
202301;14;32815.565;6177;38992.565;;
202301;15;37417.075;6149;43566.075;;
202301;16;31775.870;5523;37298.870;66033;69209
202301;17;31779.990;5575;37354.990;;
202301;18;47654.165;7426;55080.165;;
202301;19;35638.265;6395;42033.265;;
202301;20;40063.065;7049;47112.065;;
202301;21;37714.155;6209;43923.155;;
202301;22;32377.940;5999;38376.940;;
202301;23;29011.420;5520;34531.420;;
202301;24;25536.790;5725;31261.790;;
202301;25;33633.660;6267;39900.660;;
202301;26;33101.470;5407;38508.470;;
202301;27;32159.975;4851;37010.975;;
202301;28;28760.625;4815;33575.625;;
202301;29;34694.685;6546;41240.685;;
202301;30;29971.570;4911;34882.570;;
202301;31;37790.570;6233;44023.570;;
202301;32;33713.265;5215;38928.265;;
202301;33;41786.685;6483;48269.685;;
202301;34;38891.680;6448;45339.680;;
202301;35;27910.765;5556;33466.765;68839;85594
202301;36;26754.140;4766;31520.140;;
202301;37;34714.185;5599;40313.185;;
202301;38;32180.740;6112;38292.740;;
202301;39;41266.885;6734;48000.885;;
202301;40;39254.920;6441;45695.920;;
202301;41;30421.470;5202;35623.470;;
202301;42;31435.770;4871;36306.770;;
202301;43;25241.665;4777;30018.665;;
202301;44;36958.630;6108;43066.630;;
202301;45;31980.340;5519;37499.340;;
202301;46;30324.045;4795;35119.045;;
202301;47;37748.635;5993;43741.635;;
202301;48;29879.815;5544;35423.815;;
202301;49;39601.335;6745;46346.335;;
202301;50;31654.290;5671;37325.290;;
202301;51;23674.225;4560;28234.225;;
202301;52;36738.615;6442;43180.615;;
202301;53;39874.260;6987;46861.260;;
202301;54;31079.195;6219;37298.195;;
202301;55;33731.830;5594;39325.830;;
202301;56;34266.970;5051;39317.970;;
202301;57;37358.455;6945;44303.455;;
202301;58;29982.305;5846;35828.305;;
202301;59;20168.720;4005;24173.720;;
202301;60;27869.985;5578;33447.985;;
202301;61;43013.470;6851;49864.470;;
202301;62;31468.590;5423;36891.590;;
202301;63;38793.945;5907;44700.945;;
202301;64;33274.900;6274;39548.900;;
202301;65;32768.930;6530;39298.930;54928;57018
202301;66;37584.240;6014;43598.240;;
202301;67;36707.765;5451;42158.765;;
202301;68;19371.495;4327;23698.495;;
202301;69;36148.895;6558;42706.895;;
202301;70;35602.715;5871;41473.715;;
202301;71;38194.180;7218;45412.180;;
202301;72;31128.555;5828;36956.555;;
202301;73;36646.610;5680;42326.610;;
202301;74;31544.320;6805;38349.320;;
202301;75;26615.760;4983;31598.760;;
202301;76;35151.405;7473;42624.405;;
202301;77;32353.775;5122;37475.775;;
202301;78;39795.650;6281;46076.650;;
202301;79;29991.765;5828;35819.765;;
202301;80;31142.945;5314;36456.945;;
202301;81;34052.250;5446;39498.250;;
202301;82;36005.550;6419;42424.550;;
202301;83;31448.125;5548;36996.125;;
202301;84;31205.225;4943;36148.225;59609;62624
202301;85;29531.810;4742;34273.810;;
202301;86;38988.145;6178;45166.145;;
202301;87;23511.390;3952;27463.390;;
202301;88;26636.105;5997;32633.105;;
202301;89;31586.235;5980;37566.235;;
202301;90;31829.720;5641;37470.720;;
202301;91;32784.140;6287;39071.140;;
202301;92;31833.720;5092;36925.720;;
202301;93;31278.900;5243;36521.900;;
202301;94;29243.190;5295;34538.190;;
202301;95;27012.025;6238;33250.025;;
202301;96;33904.275;6264;40168.275;;
202301;97;27569.390;6229;33798.390;;
202301;98;29426.010;5425;34851.010;;
202301;99;29674.080;6053;35727.080;;
202301;100;31705.950;5019;36724.950;;
202301;101;29724.625;6066;35790.625;;
202301;102;26252.160;4250;30502.160;;
202301;103;33811.815;6726;40537.815;;
202301;104;32737.340;6048;38785.340;;
202301;105;30786.010;5754;36540.010;;
202301;106;35794.220;7107;42901.220;;
202301;107;27142.410;4856;31998.410;;
202301;108;35754.230;5271;41025.230;;
202301;109;29908.625;5159;35067.625;;
202301;110;25911.360;4414;30325.360;;
202301;111;39583.260;6985;46568.260;53106;63125
202301;112;27407.560;5741;33148.560;;
202301;113;37612.005;6641;44253.005;;
202301;114;29847.880;5119;34966.880;;
202301;115;32431.585;5157;37588.585;;
202301;116;26168.640;5340;31508.640;;
202301;117;36408.835;6062;42470.835;;
202301;118;33432.515;5739;39171.515;;
202301;119;36124.350;6698;42822.350;;
